-,1300,500,1800,200,1400,100,1600,600,900,700,400,1800
1300,-,900,1300,1800,800,2000,2000,200,1800,600,1800,1000
500,900,-,500,900,200,1500,800,1000,1500,500,100,900
1800,1300,500,-,1100,1000,1900,1600,1300,500,1900,700,700
200,1800,900,1100,-,100,1100,300,300,1600,1800,1500,200
1400,800,200,1000,100,-,500,1200,1000,600,800,1300,1600
100,2000,1500,1900,1100,500,-,900,1400,600,1000,400,300
1600,2000,800,1600,300,1200,900,-,1700,100,1200,2000,800
600,200,1000,1300,300,1000,1400,1700,-,800,1000,1100,800
900,1800,1500,500,1600,600,600,100,800,-,600,600,1800
700,600,500,1900,1800,800,1000,1200,1000,600,-,1200,100
400,1800,100,700,1500,1300,400,2000,1100,600,1200,-,1700
1800,1000,900,700,200,1600,300,800,800,1800,100,1700,-
